reviewer_type,decision,metric,n,mean,std,median
human,Accept,D4_solution_mean,678,0.48046800762045233,0.2270558331517594,0.44272500000000004
human,Accept,D5_tone_mean,678,1.6179918780727633,0.21212751623844348,1.6439249999999999
human,Reject,Total_Valid_Flaws_Found,321,5.198281412253375,1.7192794542813081,4.933333333333334
human,Reject,Critical_Recall,317,0.33033601270592355,0.12335472724273139,0.30999999999999994
human,Reject,Minor_Recall,321,0.2641237920560748,0.06175534503702297,0.2519
human,Reject,nCPS,321,0.968375593457944,0.02679104919046017,0.973035
human,Reject,Raw_CPS,321,4.508149927570094,1.2275370227585125,4.381295
human,Reject,Total_Arguments,321,5.086848390446522,1.3607016441046518,5.0
human,Reject,R_premise,322,0.5697549689440994,0.09085898520950592,0.56985
human,Reject,S_depth,322,0.480341304347826,0.062066413546339336,0.484
human,Reject,DoA_score,322,0.27337826086956524,0.0555496647876942,0.26849999999999996
human,Reject,Total_Claims,322,8.311335403726709,3.1999484642347364,7.75
human,Reject,Total_Premises,322,10.83944099378882,3.4512711547681723,10.5
human,Reject,n_arcs,322,10.99223602484472,2.9726304478282928,10.75
human,Reject,n_weaknesses,322,4.594409937888199,1.7258274101326514,4.333333333333333
human,Reject,n_strengths,322,2.5313664596273293,1.0783592636800188,2.5
human,Reject,MCS,322,0.5666880745341616,0.06365363919592809,0.5686416666666667
human,Reject,AR,322,0.7660922670807454,0.12160224703897296,0.7746975
human,Reject,SD,322,0.10237114389233956,0.08250870866825813,0.08704166666666667
human,Reject,CD,322,0.5095237784679088,0.15671838106426622,0.5242374999999999
human,Reject,D1_actionability_mean,322,1.1596467598343687,0.232119120409768,1.1743333333333332
human,Reject,D3_justification_mean,322,0.7656461231884057,0.2400405521367893,0.746275
human,Reject,D4_solution_mean,322,0.4585199016563148,0.1923263099061163,0.4491625
human,Reject,D5_tone_mean,322,1.5385299016563148,0.19641844271858866,1.5664333333333333
reviewer2,Accept,Total_Valid_Flaws_Found,676,11.642011834319527,6.768923199435767,10.0
reviewer2,Accept,Critical_Recall,556,0.6384327338129497,0.3044633710842279,0.6667
reviewer2,Accept,Minor_Recall,675,0.46341066666666664,0.17603520277496698,0.45
reviewer2,Accept,nCPS,676,0.9736908284023668,0.05042140202755021,1.0
reviewer2,Accept,Raw_CPS,676,8.27563372781065,2.8283168592019416,8.021899999999999
reviewer2,Accept,Total_Arguments,676,10.065088757396449,3.5463358439432073,10.0
reviewer2,Accept,R_premise,677,0.4020740029542097,0.18078054090007656,0.4
reviewer2,Accept,S_depth,677,0.420496011816839,0.14347241379294426,0.4545
reviewer2,Accept,DoA_score,677,0.1680864106351551,0.09516957409176244,0.1585
reviewer2,Accept,Total_Claims,677,28.397341211225996,13.00421615826187,29.0
reviewer2,Accept,Total_Premises,677,18.53618906942393,11.129307447990291,16.0
reviewer2,Accept,n_arcs,678,21.792035398230087,9.803661706347876,24.0
reviewer2,Accept,n_weaknesses,678,9.300884955752212,5.989481112877502,10.0
reviewer2,Accept,n_strengths,678,3.7212389380530975,2.925544340590694,4.0
reviewer2,Accept,MCS,590,0.575905593220339,0.10384515401695635,0.5783
reviewer2,Accept,AR,590,0.7822713559322033,0.16988749511003667,0.7826
reviewer2,Accept,SD,590,0.05189355932203389,0.10220966180814905,0.0
reviewer2,Accept,CD,590,0.5764423728813559,0.27238899934120286,0.58955
reviewer2,Accept,D1_actionability_mean,590,1.1665259322033896,0.3298960178649014,1.1538
reviewer2,Accept,D3_justification_mean,590,0.9342174576271187,0.43909191025794,0.8846
reviewer2,Accept,D4_solution_mean,590,0.26336000000000004,0.25980058140518464,0.2
reviewer2,Accept,D5_tone_mean,590,1.602522033898305,0.4355313272715356,1.52275
reviewer2,Reject,Total_Valid_Flaws_Found,321,11.246105919003115,6.904608432144874,10.0
