reviewer_type,reviewer_label,metric,metric_label,sign,mean_rigor_Accept,mean_rigor_Reject,n_Accept,n_Reject,drop_Reject_minus_Accept,pct_drop,cohens_d_Accept_vs_Reject,abs_d
deepreview,DeepReview,D1_actionability_mean,D1 Actionability,1,1.4076439759036146,1.4269517350157728,664,317,0.019307759112158207,0.013530772371880391,-0.06553052732396554,0.06553052732396554
deepreview,DeepReview,D5_tone_mean,Harshness of tone  (−D5),-1,-1.725071987951807,-1.7292940063091482,664,317,-0.004222018357341151,0.0024414693753274795,0.014657655964554333,0.014657655964554333
sea,SEA,n_weaknesses,# Weaknesses raised,1,3.9587020648967552,4.040372670807454,678,322,0.08167060591069841,0.020213631901033733,-0.03462844289183066,0.03462844289183066
sea,SEA,Total_Valid_Flaws_Found,# Valid flaws detected,1,4.228613569321534,4.190031152647975,678,321,-0.03858241667355866,-0.009208145540678312,0.016629236159939876,0.016629236159939876
sea,SEA,Total_Arguments,# Critical arguments (CPS),1,3.9808259587020647,3.9781931464174454,678,321,-0.0026328122846193125,-0.0006618110754602971,0.0013138392688312381,0.0013138392688312381
sea,SEA,Raw_CPS,Raw Criticism-Point Score,1,3.4523786135693215,3.577473208722741,678,321,0.1250945951534197,0.03496730453449908,-0.07759241757539949,0.07759241757539949
sea,SEA,n_arcs,# ARCs (review effort),1,15.337758112094395,14.5527950310559,678,322,-0.7849630810384944,-0.053938991057275974,0.1458919373552,0.1458919373552
sea,SEA,AR,Actionability Ratio,1,0.6275084444444444,0.638791277258567,675,321,0.011282832814122568,0.017662784724525215,-0.04829181349947832,0.04829181349947832
sea,SEA,D1_actionability_mean,D1 Actionability,1,0.9003528888888889,0.9105146417445482,675,321,0.010161752855659345,0.011160449694899361,-0.02504804185882131,0.02504804185882131
sea,SEA,D5_tone_mean,Harshness of tone  (−D5),-1,-1.5973226666666667,-1.5825984423676012,675,321,0.014724224299065503,-0.009303828377991923,-0.05931010901860192,0.05931010901860192
cyclereview,CycleReview,n_weaknesses,# Weaknesses raised,1,3.489675516224189,3.5527950310559007,678,322,0.06311951483171185,0.017766157146688128,-0.03477979955086467,0.03477979955086467
cyclereview,CycleReview,Total_Valid_Flaws_Found,# Valid flaws detected,1,3.0824088748019016,3.216666666666667,631,300,0.13425779186476516,0.04173817363671456,-0.06429630186601074,0.06429630186601074
cyclereview,CycleReview,Total_Arguments,# Critical arguments (CPS),1,3.1584786053882725,3.2066666666666666,631,300,0.048188061278394034,0.015027461937129118,-0.03130429057469333,0.03130429057469333
cyclereview,CycleReview,Raw_CPS,Raw Criticism-Point Score,1,2.7938275752773376,2.938338,631,300,0.1445104247226623,0.04918100801291829,-0.1155094923004228,0.1155094923004228
cyclereview,CycleReview,n_arcs,# ARCs (review effort),1,6.9174041297935105,6.807453416149069,678,322,-0.10995071364444176,-0.01615151906638241,0.03630936736964371,0.03630936736964371
cyclereview,CycleReview,AR,Actionability Ratio,1,0.8983081845238094,0.9164310344827586,672,319,0.018122849958949194,0.019775465121800336,-0.08609171937783477,0.08609171937783477
cyclereview,CycleReview,D1_actionability_mean,D1 Actionability,1,1.3080098214285716,1.3687272727272728,672,319,0.06071745129870121,0.04436051835053887,-0.12281754243737593,0.12281754243737593
cyclereview,CycleReview,D5_tone_mean,Harshness of tone  (−D5),-1,-1.3154162202380952,-1.3322382445141068,672,319,-0.016822024276011538,0.012626888880634754,0.04097199839102793,0.04097199839102793
