reviewer_type,metric,mean_Accept,mean_Reject,delta_Accept_minus_Reject,pct_delta_vs_Reject,n_Accept,n_Reject,std_Accept,std_Reject,cohens_d
reviewer2,R_premise,0.4020740029542097,0.39005233644859816,0.012021666505611539,0.030820649903210557,677,321,0.18078054090007656,0.19683930581780776,0.06460096163172363
reviewer2,Raw_CPS,8.27563372781065,8.642571651090343,-0.36693792327969277,-0.0424570299319879,676,321,2.8283168592019416,2.731149759220021,-0.13116940296172602
reviewer2,SD,0.05189355932203389,0.04752145328719723,0.004372106034836662,0.09200278468786964,590,289,0.10220966180814905,0.08628712620819813,0.044948755067362116
reviewer2,S_depth,0.420496011816839,0.45338411214953267,-0.03288810033269368,-0.07253915488297197,677,321,0.14347241379294426,0.13493033490671172,-0.23360598875428323
reviewer2,Total_Arguments,10.065088757396449,9.903426791277258,0.16166196611919048,0.016323841184101965,676,321,3.5463358439432073,3.3689789952454414,0.04631776781848682
reviewer2,Total_Claims,28.397341211225996,28.598130841121495,-0.20078962989549964,-0.007021075293731523,677,321,13.00421615826187,12.233810587683918,-0.015733684263041985
reviewer2,Total_Premises,18.53618906942393,18.289719626168225,0.2464694432557053,0.01347584590105287,677,321,11.129307447990291,11.826355111937273,0.02170022015549209
reviewer2,Total_Valid_Flaws_Found,11.642011834319527,11.246105919003115,0.39590591531641195,0.035203822386861004,676,321,6.768923199435767,6.904608432144874,0.058111597662365434
reviewer2,nCPS,0.9736908284023668,0.9775629283489096,-0.0038720999465428063,-0.003960972571947599,676,321,0.05042140202755021,0.030322829108577174,-0.08614460348284134
reviewer2,n_arcs,21.792035398230087,21.593167701863354,0.19886769636673307,0.009209750931984475,678,322,9.803661706347876,8.630472884410713,0.02106151957851266
reviewer2,n_strengths,3.7212389380530975,3.487577639751553,0.23366129830154447,0.0669981638941205,678,322,2.925544340590694,2.4573941511695905,0.0839430345463394
reviewer2,n_weaknesses,9.300884955752212,9.18944099378882,0.11144396196339201,0.012127392954448202,678,322,5.989481112877502,5.608028318224039,0.018986977884456243
sea,AR,0.6275084444444444,0.638791277258567,-0.011282832814122568,-0.017662784724525215,675,321,0.2320900835603334,0.23686711949672545,-0.04829181349947832
sea,CD,0.32821807407407405,0.3219570093457944,0.006261064728279642,0.019446896779796503,675,321,0.2544188082072139,0.2634929482377622,0.02432662530654743
sea,Critical_Recall,0.22464106382978724,0.21852134831460673,0.006119715515180507,0.028005115117493734,470,267,0.2751968161659283,0.26504818733619984,0.022534763351452426
sea,D1_actionability_mean,0.9003528888888889,0.9105146417445484,-0.010161752855659567,-0.011160449694899603,675,321,0.4017245942396518,0.41391943155184124,-0.02504804185882131
sea,D3_justification_mean,0.4701782222222222,0.4571803738317758,0.012997848390446431,0.02843046013000795,675,321,0.4101235821020798,0.40083384465369165,0.03192350492848558
sea,D4_solution_mean,0.3649474074074074,0.3783666666666667,-0.013419259259259297,-0.03546628295108615,675,321,0.283224111707438,0.2745736041650156,-0.04784589297561954
sea,D5_tone_mean,1.5973226666666667,1.5825984423676012,0.014724224299065503,0.009303828377991923,675,321,0.2447263518799131,0.25553769199242643,0.05931010901860192
sea,DoA_score,0.18683849557522125,0.17950062111801243,0.007337874457208821,0.040879381984893215,678,322,0.1059372265094302,0.09833509592183093,0.07086108206008954
sea,MCS,0.4994152592592593,0.49504984423676,0.004365415022499264,0.008818132301868745,675,321,0.09211608317052443,0.09360747637228642,0.047143305712846695
sea,Minor_Recall,0.2494141802067947,0.24281401869158878,0.006600161515205927,0.027181962354443583,677,321,0.1526176732142202,0.13920010334626964,0.04446376623061303
sea,R_premise,0.3838597345132743,0.37554068322981365,0.008319051283460666,0.022152197231770462,678,322,0.2150316293273048,0.19989318344635165,0.039561521496771626
sea,Raw_CPS,3.4523786135693215,3.577473208722741,-0.1250945951534197,-0.03496730453449908,678,321,1.6074048411639146,1.6223020184578716,-0.07759241757539949
sea,SD,0.04098162962962963,0.04042741433021807,0.0005542152994115618,0.013708897998883529,675,321,0.11024107621291043,0.09185472495253533,0.005294628010115526
sea,S_depth,0.4682541297935104,0.44999472049689443,0.018259409296615958,0.04057694116156186,678,322,0.12308199176305715,0.13622928378363444,0.14325738698081641
sea,Total_Arguments,3.9808259587020647,3.9781931464174454,0.0026328122846193125,0.0006618110754602971,678,321,2.0208480375662083,1.967586840542974,0.0013138392688312381
sea,Total_Claims,12.34070796460177,12.475155279503106,-0.13444731490133677,-0.010777205725225402,678,322,5.156100409520083,5.006631503324473,-0.026318345085335187
sea,Total_Premises,7.896755162241888,7.478260869565218,0.4184942926766704,0.055961446113740806,678,322,5.1222532519574795,4.370086587138416,0.0855299802646715
sea,Total_Valid_Flaws_Found,4.228613569321534,4.190031152647975,0.03858241667355866,0.009208145540678312,678,321,2.4685809727130104,1.969619331628952,0.016629236159939876
sea,nCPS,0.9758463126843657,0.9785423676012461,-0.002696054916880408,-0.0027551744371471553,678,321,0.09300821762729554,0.04422510259317605,-0.033435846449386665
sea,n_arcs,15.337758112094395,14.5527950310559,0.7849630810384944,0.053938991057275974,678,322,5.40496699628373,5.328347304592231,0.1458919373552
sea,n_strengths,4.320058997050148,4.195652173913044,0.12440682313710383,0.029651367172573967,678,322,2.831962328787109,2.7698161218833834,0.04423946320410748
sea,n_weaknesses,3.9587020648967552,4.040372670807454,-0.08167060591069841,-0.020213631901033733,678,322,2.2863165172093445,2.5038755973692575,-0.03462844289183066
tree,AR,0.7711432267884323,0.7802490506329114,-0.00910582384447911,-0.011670406823427439,657,316,0.18024772009129145,0.16035476809215712,-0.052319200874891544
tree,CD,0.3293015220700152,0.2856705696202531,0.04363095244976206,0.15273170249130477,657,316,0.29264531463976423,0.25680506149079996,0.15498408969650057
tree,Critical_Recall,0.31380340681362723,0.26867938931297713,0.04512401750065009,0.16794744701494904,499,262,0.334292712092035,0.2860837289268891,0.1416592825206125
tree,D1_actionability_mean,1.0467060882800607,1.0400022151898736,0.006703873090187162,0.0064460180875318945,657,316,0.2872627403711788,0.2503291318425517,0.02430492306283878
tree,D3_justification_mean,0.6520167427701674,0.6144443037974684,0.03757243897269902,0.0611486488531002,657,316,0.4809014448811363,0.44106582721369864,0.08022301045633934
tree,D4_solution_mean,0.3668563165905632,0.34149367088607596,0.025362645704487263,0.07426973870021847,657,316,0.3571087346712273,0.33834516182626834,0.07223117263473187
tree,D5_tone_mean,1.2889456621004565,1.255807594936709,0.033138067163747564,0.026387853758296213,657,316,0.6016991680199837,0.5919063268923129,0.055364846744097064
tree,DoA_score,0.14792802359882004,0.16441490683229815,-0.016486883233478106,-0.10027608536916054,678,322,0.08314794122119278,0.08162683932745052,-0.19944998373292822
tree,MCS,0.48870852359208516,0.47850854430379747,0.010199979288287697,0.021316190504242893,657,316,0.1278772466141959,0.11733166539575275,0.08189198636732752
tree,Minor_Recall,0.3192062222222222,0.3477299065420561,-0.028523684319833875,-0.08202827477073528,675,321,0.14643006074982293,0.15296320792204815,-0.19199509957007244
tree,R_premise,0.3240705014749262,0.3523257763975155,-0.02825527492258928,-0.08019644549284963,678,322,0.15929454277840172,0.15167824606842015,-0.18010164807565576
tree,Raw_CPS,4.331452437223042,4.509139563862928,-0.17768712663988584,-0.03940599400912384,677,321,1.5976280482098277,1.499953530892227,-0.11339965380014258
tree,SD,0.04775829528158296,0.04163955696202532,0.006118738319557636,0.14694532713539285,657,316,0.130096961830695,0.13431256858936522,0.046537637315318514
tree,S_depth,0.44419705014749267,0.46229223602484465,-0.018095185877351982,-0.03914230970640724,678,322,0.12160241274731327,0.0986804861700015,-0.15771915545737838
tree,Total_Arguments,5.360413589364845,5.4953271028037385,-0.13491351343889324,-0.024550588329866625,677,321,1.8605445074476865,1.7626710827021566,-0.07373652222066852
tree,Total_Claims,19.553097345132745,18.31366459627329,1.2394327488594534,0.06767803037692793,678,322,7.646702931632106,7.863579812240598,0.16060809799371836
tree,Total_Premises,8.9070796460177,9.319875776397515,-0.41279613037981555,-0.04429202065388225,678,322,4.940285368673331,4.721546289243331,-0.08474564435914017
tree,Total_Valid_Flaws_Found,5.750369276218612,6.059190031152648,-0.30882075493403605,-0.0509673328194476,677,321,2.302176872995994,2.190801358384715,-0.13622500381590189
tree,nCPS,0.9729469719350075,0.9713747663551402,0.0015722055798672585,0.001618536567268056,677,321,0.06857468293390716,0.04593530319942783,0.025274212192728233
tree,n_arcs,20.446902654867255,21.071428571428573,-0.6245259165613177,-0.029638518074096433,678,322,6.667630364371332,5.907215383872106,-0.09708368532926634
tree,n_strengths,2.9454277286135695,2.919254658385093,0.02617307022847637,0.008965668737839778,678,322,2.580743605398943,2.384987196761557,0.01038844859814053
tree,n_weaknesses,8.200589970501476,8.801242236024844,-0.6006522655233688,-0.06824630539820917,678,322,5.60975092246792,5.586833515723926,-0.1072135774426484
