conference,reviewer_type,decision,metric,n,mean,std
iclr2026,tree,Accept,Total_Valid_Flaws_Found,106,5.8584905660377355,2.117674732185924
iclr2026,tree,Accept,Critical_Recall,80,0.21559499999999998,0.28640925569337916
iclr2026,tree,Accept,Minor_Recall,106,0.33480754716981137,0.13504254264286544
iclr2026,tree,Accept,nCPS,106,0.9810028301886793,0.040580620421803666
iclr2026,tree,Accept,Raw_CPS,106,4.183499056603773,1.4279851570854105
iclr2026,tree,Accept,Total_Arguments,106,5.452830188679245,1.8778512313492686
iclr2026,tree,Accept,R_premise,106,0.27753490566037736,0.13636457509712552
iclr2026,tree,Accept,S_depth,106,0.4343981132075472,0.14248792228257845
iclr2026,tree,Accept,DoA_score,106,0.12317924528301889,0.0733294194414183
iclr2026,tree,Accept,Total_Claims,106,22.70754716981132,5.466725286210812
iclr2026,tree,Accept,Total_Premises,106,8.726415094339623,4.526184178370551
iclr2026,tree,Accept,n_arcs,106,20.39622641509434,6.576551774561352
iclr2026,tree,Accept,n_weaknesses,106,6.80188679245283,5.815283330641201
iclr2026,tree,Accept,n_strengths,106,2.9150943396226414,2.8953753750496403
iclr2026,tree,Accept,MCS,104,0.4929528846153846,0.16443884864305794
iclr2026,tree,Accept,AR,104,0.7838048076923078,0.2098030340187143
iclr2026,tree,Accept,SD,104,0.07708749999999999,0.18400202335712118
iclr2026,tree,Accept,CD,104,0.338985576923077,0.3383796828858896
iclr2026,tree,Accept,D1_actionability_mean,104,1.0605682692307692,0.3112655564839869
iclr2026,tree,Accept,D3_justification_mean,104,0.6746086538461539,0.4902421007043608
iclr2026,tree,Accept,D4_solution_mean,104,0.46134519230769233,0.4650789205143131
iclr2026,tree,Accept,D5_tone_mean,104,1.2029528846153847,0.6435698145540936
iclr2026,tree,Reject,Total_Valid_Flaws_Found,93,6.053763440860215,2.486334788913582
iclr2026,tree,Reject,Critical_Recall,75,0.2167986666666667,0.27669456303732176
iclr2026,tree,Reject,Minor_Recall,93,0.3443634408602151,0.15965217749638164
iclr2026,tree,Reject,nCPS,93,0.9728172043010752,0.04699907405113774
